sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2021 PPR  1431822","2021 PPR  1431822","","15/07/2021","**","","-156.00","0.00","NZD","0.00","2021","202112","PPR","1431822 ITR","","22/06/2021","22/06/2021","ACE.006824256.0000058","2021.PPR.1431822","","0.00","","CG Invoices to be received account"
"","2022 PPR  1541993","2022 PPR  1541993","","15/07/2022","**","","-365.00","0.00","NZD","0.00","2022","202212","PPR","1541993 ITR","","14/06/2022","14/06/2022","ACE.006895342.0000007","2022.PPR.1541993","","0.00","","CG Invoices to be received account"
