sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1272948","2020 PPR  1272948","","24/06/2020","**","","-1,766.60","0.00","NZD","0.00","2020","202012","PPR","1272948 ITR","","24/06/2020","24/06/2020","ACE.006717397.0000013","2020.PPR.1272948","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272948","2020 PPR  1272948","","24/06/2020","**","","-42.69","0.00","NZD","0.00","2020","202012","PPR","1272948 ITR","","24/06/2020","24/06/2020","ACE.006717397.0000013.01","2020.PPR.1272948","","0.00","","CG Invoices to be received account"
"","2023 PPR  1563811","2023 PPR  1563811","","28/07/2022","**","","-865.00","0.00","NZD","0.00","2023","202301","PPR","1563811 ITR","","28/07/2022","28/07/2022","ACE.006890672.0000005","2023.PPR.1563811","","0.00","","CG Invoices to be received account"
"","2023 PPR  1563817","2023 PPR  1563817","","28/07/2022","**","","-814.18","0.00","NZD","0.00","2023","202301","PPR","1563817 ITR","","28/07/2022","28/07/2022","ACE.006890666.0000009","2023.PPR.1563817","","0.00","","CG Invoices to be received account"
