sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1258125","2020 PPR  1258125","","15/04/2020","**","","-2,977.94","0.00","NZD","0.00","2020","202009","PPR","1258125 ITR","","16/03/2020","16/03/2020","ACE.006725944.0000008","2020.PPR.1258125","","0.00","","CG Invoices to be received account"
"","2021 PPR  1319040","2021 PPR  1319040","","15/11/2020","**","","-435.90","0.00","NZD","0.00","2021","202104","PPR","1319040 ITR","","19/10/2020","19/10/2020","ACE.006760055.0000008","2021.PPR.1319040","","0.00","","CG Invoices to be received account"
"","2021 PPR  1372540","2021 PPR  1372540","","15/03/2021","**","","-674.16","0.00","NZD","0.00","2021","202108","PPR","1372540 ITR","","25/02/2021","25/02/2021","ACE.006791459.0000010","2021.PPR.1372540","","0.00","","CG Invoices to be received account"
"","2022 PPR  1497936","2022 PPR  1497936","","15/02/2022","**","","-2,134.24","0.00","NZD","0.00","2022","202207","PPR","1497936 ITR","","28/01/2022","28/01/2022","ACE.006824398.0000002","2022.PPR.1497936","","0.00","","CG Invoices to be received account"
