sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2023 PPR  1615268","2023 PPR  1615268","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615268 ITR","","07/12/2022","07/12/2022","ACE.006935110.0000002","2023.PPR.1615268","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615269","2023 PPR  1615269","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615269 ITR","","07/12/2022","07/12/2022","ACE.006935111.0000002","2023.PPR.1615269","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615272","2023 PPR  1615272","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615272 ITR","","07/12/2022","07/12/2022","ACE.006935112.0000002","2023.PPR.1615272","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615273","2023 PPR  1615273","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615273 ITR","","07/12/2022","07/12/2022","ACE.006935113.0000002","2023.PPR.1615273","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615274","2023 PPR  1615274","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615274 ITR","","07/12/2022","07/12/2022","ACE.006935114.0000002","2023.PPR.1615274","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615991","2023 PPR  1615991","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1615991 ITR","","09/12/2022","09/12/2022","ACE.006935333.0000002","2023.PPR.1615991","","0.00","","CG Invoices to be received account"
"","2023 PPR  1617428","2023 PPR  1617428","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1617428 ITR","","15/12/2022","15/12/2022","ACE.006935997.0000002","2023.PPR.1617428","","0.00","","CG Invoices to be received account"
"","2023 PPR  1617852","2023 PPR  1617852","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1617852 ITR","","16/12/2022","16/12/2022","ACE.006936167.0000002","2023.PPR.1617852","","0.00","","CG Invoices to be received account"
"","2023 PPR  1618438","2023 PPR  1618438","","15/01/2023","**","","-199.00","0.00","NZD","0.00","2023","202306","PPR","1618438 ITR","","19/12/2022","19/12/2022","ACE.006936340.0000002","2023.PPR.1618438","","0.00","","CG Invoices to be received account"
"","2023 PPR  1621047","2023 PPR  1621047","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1621047 ITR","","09/01/2023","09/01/2023","ACE.006937143.0000002","2023.PPR.1621047","","0.00","","CG Invoices to be received account"
"","2023 PPR  1622573","2023 PPR  1622573","","15/02/2023","","","-191.00","0.00","NZD","0.00","2023","202307","PPR","1622573 ITR","","17/01/2023","17/01/2023","ACE.006865905.0000007","2023.PPR.1622573","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623039","2023 PPR  1623039","","15/02/2023","","","-398.00","0.00","NZD","0.00","2023","202307","PPR","1623039 ITR","","18/01/2023","18/01/2023","ACE.006938399.0000002","2023.PPR.1623039","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623045","2023 PPR  1623045","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623045 ITR","","18/01/2023","18/01/2023","ACE.006938405.0000002","2023.PPR.1623045","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623046","2023 PPR  1623046","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623046 ITR","","18/01/2023","18/01/2023","ACE.006938405.0000004","2023.PPR.1623046","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623054","2023 PPR  1623054","","15/02/2023","","","-398.00","0.00","NZD","0.00","2023","202307","PPR","1623054 ITR","","18/01/2023","18/01/2023","ACE.006938413.0000002","2023.PPR.1623054","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623057","2023 PPR  1623057","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623057 ITR","","18/01/2023","18/01/2023","ACE.006938419.0000002","2023.PPR.1623057","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623058","2023 PPR  1623058","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623058 ITR","","18/01/2023","18/01/2023","ACE.006938419.0000004","2023.PPR.1623058","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623061","2023 PPR  1623061","","15/02/2023","","","-398.00","0.00","NZD","0.00","2023","202307","PPR","1623061 ITR","","18/01/2023","18/01/2023","ACE.006938424.0000002","2023.PPR.1623061","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623338","2023 PPR  1623338","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623338 ITR","","19/01/2023","19/01/2023","ACE.006938557.0000002","2023.PPR.1623338","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623339","2023 PPR  1623339","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623339 ITR","","19/01/2023","19/01/2023","ACE.006938557.0000004","2023.PPR.1623339","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623340","2023 PPR  1623340","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623340 ITR","","19/01/2023","19/01/2023","ACE.006938557.0000006","2023.PPR.1623340","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623353","2023 PPR  1623353","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623353 ITR","","19/01/2023","19/01/2023","ACE.006938569.0000002","2023.PPR.1623353","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623368","2023 PPR  1623368","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623368 ITR","","19/01/2023","19/01/2023","ACE.006938578.0000002","2023.PPR.1623368","","0.00","","CG Invoices to be received account"
"","2023 PPR  1623428","2023 PPR  1623428","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1623428 ITR","","19/01/2023","19/01/2023","ACE.006938670.0000002","2023.PPR.1623428","","0.00","","CG Invoices to be received account"
"","2023 PPR  1625494","2023 PPR  1625494","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1625494 ITR","","27/01/2023","27/01/2023","ACE.006939716.0000002","2023.PPR.1625494","","0.00","","CG Invoices to be received account"
"","2023 PPR  1625495","2023 PPR  1625495","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1625495 ITR","","27/01/2023","27/01/2023","ACE.006939717.0000002","2023.PPR.1625495","","0.00","","CG Invoices to be received account"
"","2023 PPR  1625496","2023 PPR  1625496","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1625496 ITR","","27/01/2023","27/01/2023","ACE.006939718.0000002","2023.PPR.1625496","","0.00","","CG Invoices to be received account"
"","2023 PPR  1625982","2023 PPR  1625982","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1625982 ITR","","30/01/2023","30/01/2023","ACE.006939971.0000002","2023.PPR.1625982","","0.00","","CG Invoices to be received account"
"","2023 PPR  1625987","2023 PPR  1625987","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1625987 ITR","","30/01/2023","30/01/2023","ACE.006939973.0000002","2023.PPR.1625987","","0.00","","CG Invoices to be received account"
"","2023 PPR  1625988","2023 PPR  1625988","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1625988 ITR","","30/01/2023","30/01/2023","ACE.006939975.0000002","2023.PPR.1625988","","0.00","","CG Invoices to be received account"
"","2023 PPR  1625991","2023 PPR  1625991","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1625991 ITR","","30/01/2023","30/01/2023","ACE.006939976.0000002","2023.PPR.1625991","","0.00","","CG Invoices to be received account"
"","2023 PPR  1626348","2023 PPR  1626348","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1626348 ITR","","31/01/2023","31/01/2023","ACE.006940152.0000002","2023.PPR.1626348","","0.00","","CG Invoices to be received account"
"","2023 PPR  1626349","2023 PPR  1626349","","15/02/2023","","","-199.00","0.00","NZD","0.00","2023","202307","PPR","1626349 ITR","","31/01/2023","31/01/2023","ACE.006940152.0000004","2023.PPR.1626349","","0.00","","CG Invoices to be received account"
"","2023 PUR   380947","2023 PUR   380947","","15/01/2023","**","","382.00","0.00","NZD","0.00","2023","202307","PUR","380947 VPA","","15/12/2022","17/01/2023","ACE.006865905.0000002","2023.PUR.0380947","","0.00","","CG Invoices to be received account"
