sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2022 PPR  1485593","2022 PPR  1485593","","15/01/2022","**","","-191.00","0.00","NZD","0.00","2022","202206","PPR","1485593 ITR","","03/12/2021","03/12/2021","ACE.006860569.0000002","2022.PPR.1485593","","0.00","","CG Invoices to be received account"
"","2022 PPR  1485595","2022 PPR  1485595","","15/01/2022","**","","-191.00","0.00","NZD","0.00","2022","202206","PPR","1485595 ITR","","03/12/2021","03/12/2021","ACE.006860574.0000002","2022.PPR.1485595","","0.00","","CG Invoices to be received account"
"","2022 PPR  1486756","2022 PPR  1486756","","15/01/2022","**","","-191.00","0.00","NZD","0.00","2022","202206","PPR","1486756 ITR","","08/12/2021","08/12/2021","ACE.006861140.0000002","2022.PPR.1486756","","0.00","","CG Invoices to be received account"
"","2022 PPR  1487435","2022 PPR  1487435","","15/01/2022","**","","-191.00","0.00","NZD","0.00","2022","202206","PPR","1487435 ITR","","10/12/2021","10/12/2021","ACE.006861551.0000002","2022.PPR.1487435","","0.00","","CG Invoices to be received account"
"","2022 PPR  1487441","2022 PPR  1487441","","15/01/2022","**","","-191.00","0.00","NZD","0.00","2022","202206","PPR","1487441 ITR","","10/12/2021","10/12/2021","ACE.006861558.0000002","2022.PPR.1487441","","0.00","","CG Invoices to be received account"
"","2022 PPR  1497369","2022 PPR  1497369","","15/02/2022","**","","-191.00","0.00","NZD","0.00","2022","202207","PPR","1497369 ITR","","27/01/2022","27/01/2022","ACE.006867474.0000002","2022.PPR.1497369","","0.00","","CG Invoices to be received account"
"","2022 PPR  1497962","2022 PPR  1497962","","15/02/2022","**","","-191.00","0.00","NZD","0.00","2022","202207","PPR","1497962 ITR","","28/01/2022","28/01/2022","ACE.006852441.0000002","2022.PPR.1497962","","0.00","","CG Invoices to be received account"
"","2022 PPR  1502425","2022 PPR  1502425","","15/03/2022","**","","-382.00","0.00","NZD","0.00","2022","202208","PPR","1502425 ITR","","23/02/2022","23/02/2022","ACE.006870016.0000002","2022.PPR.1502425","","0.00","","CG Invoices to be received account"
"","2022 PPR  1503948","2022 PPR  1503948","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1503948 ITR","","02/03/2022","02/03/2022","ACE.006870702.0000002","2022.PPR.1503948","","0.00","","CG Invoices to be received account"
"","2022 PPR  1503949","2022 PPR  1503949","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1503949 ITR","","02/03/2022","02/03/2022","ACE.006870704.0000002","2022.PPR.1503949","","0.00","","CG Invoices to be received account"
"","2022 PPR  1505170","2022 PPR  1505170","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1505170 ITR","","09/03/2022","09/03/2022","ACE.006871366.0000002","2022.PPR.1505170","","0.00","","CG Invoices to be received account"
"","2022 PPR  1505462","2022 PPR  1505462","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1505462 ITR","","10/03/2022","10/03/2022","ACE.006871519.0000002","2022.PPR.1505462","","0.00","","CG Invoices to be received account"
"","2022 PPR  1507837","2022 PPR  1507837","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1507837 ITR","","22/03/2022","22/03/2022","ACE.006872791.0000002","2022.PPR.1507837","","0.00","","CG Invoices to be received account"
"","2022 PPR  1507839","2022 PPR  1507839","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1507839 ITR","","22/03/2022","22/03/2022","ACE.006872802.0000002","2022.PPR.1507839","","0.00","","CG Invoices to be received account"
"","2022 PPR  1507846","2022 PPR  1507846","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1507846 ITR","","22/03/2022","22/03/2022","ACE.006872811.0000002","2022.PPR.1507846","","0.00","","CG Invoices to be received account"
"","2022 PPR  1507847","2022 PPR  1507847","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1507847 ITR","","22/03/2022","22/03/2022","ACE.006872813.0000002","2022.PPR.1507847","","0.00","","CG Invoices to be received account"
"","2022 PPR  1507849","2022 PPR  1507849","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1507849 ITR","","22/03/2022","22/03/2022","ACE.006872817.0000002","2022.PPR.1507849","","0.00","","CG Invoices to be received account"
"","2022 PPR  1507850","2022 PPR  1507850","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1507850 ITR","","22/03/2022","22/03/2022","ACE.006872819.0000002","2022.PPR.1507850","","0.00","","CG Invoices to be received account"
"","2022 PPR  1510222","2022 PPR  1510222","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1510222 ITR","","31/03/2022","31/03/2022","ACE.006874337.0000002","2022.PPR.1510222","","0.00","","CG Invoices to be received account"
"","2022 PPR  1510237","2022 PPR  1510237","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1510237 ITR","","31/03/2022","31/03/2022","ACE.006874348.0000002","2022.PPR.1510237","","0.00","","CG Invoices to be received account"
"","2022 PPR  1510238","2022 PPR  1510238","","15/04/2022","**","","-191.00","0.00","NZD","0.00","2022","202209","PPR","1510238 ITR","","31/03/2022","31/03/2022","ACE.006874350.0000002","2022.PPR.1510238","","0.00","","CG Invoices to be received account"
"","2022 PPR  1520860","2022 PPR  1520860","","15/06/2022","**","","-191.00","0.00","NZD","0.00","2022","202211","PPR","1520860 ITR","","03/05/2022","03/05/2022","ACE.006881664.0000002","2022.PPR.1520860","","0.00","","CG Invoices to be received account"
"","2022 PPR  1521124","2022 PPR  1521124","","15/06/2022","**","","-191.00","0.00","NZD","0.00","2022","202211","PPR","1521124 ITR","","04/05/2022","04/05/2022","ACE.006881759.0000002","2022.PPR.1521124","","0.00","","CG Invoices to be received account"
"","2022 PPR  1545683","2022 PPR  1545683","","15/07/2022","**","","-398.00","0.00","NZD","0.00","2022","202212","PPR","1545683 ITR","","21/06/2022","21/06/2022","ACE.006898164.0000002","2022.PPR.1545683","","0.00","","CG Invoices to be received account"
"","2022 PPR  1546079","2022 PPR  1546079","","15/07/2022","**","","-199.00","0.00","NZD","0.00","2022","202212","PPR","1546079 ITR","","22/06/2022","22/06/2022","ACE.006898359.0000002","2022.PPR.1546079","","0.00","","CG Invoices to be received account"
