sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2021 PPR  1420822","2021 PPR  1420822","","15/07/2021","**","","263.70","0.00","NZD","0.00","2021","202112","PPR","1420822 ITR","","02/06/2021","02/06/2021","ACE.006797097.0000012","2021.PPR.1420822","","0.00","","CG Invoices to be received account"
"","2022 PPR  1473295","2022 PPR  1473295","","15/11/2021","**","","251.00","0.00","NZD","0.00","2022","202204","PPR","1473295 ITR","","07/10/2021","07/10/2021","ACE.006827593.0000017","2022.PPR.1473295","","0.00","","CG Invoices to be received account"
