sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2019 PPR   943337","2019 PPR   943337","","04/03/2019","**","","-550.80","0.00","NZD","0.00","2019","201909","PPR","943337 ITR","","04/03/2019","04/03/2019","ACE.006498325.0000091","2019.PPR.0943337","","0.00","","CG Invoices to be received account"
"","2019 PPR   985134","2019 PPR   985134","","17/04/2019","**","","-236.34","0.00","NZD","0.00","2019","201910","PPR","985134 ITR","","17/04/2019","17/04/2019","ACE.006520309.0000031","2019.PPR.0985134","","0.00","","CG Invoices to be received account"
"","2019 PPR   985141","2019 PPR   985141","","17/04/2019","**","","-329.85","0.00","NZD","0.00","2019","201910","PPR","985141 ITR","","17/04/2019","17/04/2019","ACE.006534448.0000042","2019.PPR.0985141","","0.00","","CG Invoices to be received account"
"","2019 PPR   986261","2019 PPR   986261","","18/04/2019","**","","-777.70","0.00","NZD","0.00","2019","201910","PPR","986261 ITR","","18/04/2019","18/04/2019","ACE.006532693.0000050","2019.PPR.0986261","","0.00","","CG Invoices to be received account"
"","2019 PPR   988126","2019 PPR   988126","","23/04/2019","**","","-209.07","0.00","NZD","0.00","2019","201910","PPR","988126 ITR","","23/04/2019","23/04/2019","ACE.006565134.0000014","2019.PPR.0988126","","0.00","","CG Invoices to be received account"
"","2019 PPR  1007795","2019 PPR  1007795","","16/05/2019","**","","-197.00","0.00","NZD","0.00","2019","201911","PPR","1007795 ITR","","16/05/2019","16/05/2019","ACE.006570644.0000009","2019.PPR.1007795","","0.00","","CG Invoices to be received account"
"","2020 PUR   262887","2020 PUR   262887","","24/09/2019","**","","-923.62","0.00","NZD","0.00","2020","202003","PUR","262887 VPA","","24/09/2019","24/09/2019","ACE.006531321.0000026","2020.PUR.0262887","","0.00","","CG Invoices to be received account"
"","2020 PUR   262887","2020 PUR   262887","","24/09/2019","**","","830.67","0.00","NZD","0.00","2020","202003","PUR","262887 VPA","","24/09/2019","24/09/2019","ACE.006531321.0000027","2020.PUR.0262887","","0.00","","CG Invoices to be received account"
"","2020 PUR   262887","2020 PUR   262887","","24/09/2019","**","","-830.67","0.00","NZD","0.00","2020","202003","PUR","262887 VPA","","24/09/2019","24/09/2019","ACE.006531321.0000028","2020.PUR.0262887","","0.00","","CG Invoices to be received account"
