sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1274907","2020 PPR  1274907","","15/07/2020","**","","-83.00","0.00","NZD","0.00","2020","202012","PPR","1274907 ITR","","30/06/2020","30/06/2020","ACE.006732755.0000005","2020.PPR.1274907","","0.00","","CG Invoices to be received account"
"","2021 PPR  1298026","2021 PPR  1298026","","15/09/2020","**","","-166.00","0.00","NZD","0.00","2021","202102","PPR","1298026 ITR","","26/08/2020","26/08/2020","ACE.006744349.0000017","2021.PPR.1298026","","0.00","","CG Invoices to be received account"
"","2021 PPR  1303416","2021 PPR  1303416","","15/10/2020","**","","-187.52","0.00","NZD","0.00","2021","202103","PPR","1303416 ITR","","11/09/2020","11/09/2020","ACE.006744908.0000022","2021.PPR.1303416","","0.00","","CG Invoices to be received account"
"","2021 PPR  1307139","2021 PPR  1307139","","15/10/2020","**","","-166.00","0.00","NZD","0.00","2021","202103","PPR","1307139 ITR","","22/09/2020","22/09/2020","ACE.006752889.0000005","2021.PPR.1307139","","0.00","","CG Invoices to be received account"
"","2021 PPR  1334269","2021 PPR  1334269","","15/12/2020","**","","-85.00","0.00","NZD","0.00","2021","202105","PPR","1334269 ITR","","17/11/2020","17/11/2020","ACE.006766213.0000009","2021.PPR.1334269","","0.00","","CG Invoices to be received account"
"","2021 PPR  1427019","2021 PPR  1427019","","15/07/2021","**","","-149.85","0.00","NZD","0.00","2021","202112","PPR","1427019 ITR","","14/06/2021","14/06/2021","ACE.006809925.0000017","2021.PPR.1427019","","0.00","","CG Invoices to be received account"
"","2021 PPR  1427020","2021 PPR  1427020","","15/07/2021","**","","-139.63","0.00","NZD","0.00","2021","202112","PPR","1427020 ITR","","14/06/2021","14/06/2021","ACE.006809925.0000019","2021.PPR.1427020","","0.00","","CG Invoices to be received account"
"","2022 PPR  1534904","2022 PPR  1534904","","15/06/2022","**","","-88.82","0.00","NZD","0.00","2022","202211","PPR","1534904 ITR","","31/05/2022","31/05/2022","ACE.006890984.0000010","2022.PPR.1534904","","0.00","","CG Invoices to be received account"
